Objects	t0	t1	t2	t3
O01	-0.83	-0.83	0.49	1.17
O02	0.66	-0.25	-1.3	0.9
O03	-0.13	0.92	0.56	-1.35
O04	-1.39	0.69	0.76	-0.07
O05	-0.07	0.97	0.46	-1.36
O06	0.36	0.79	0.31	-1.46
O07	0.05	0.66	0.72	-1.43
O08	0.06	0.65	0.72	-1.43
O09	-0.24	0.91	0.63	-1.31
O10	-0.25	0.86	0.7	-1.31
O100	0.0	0.0	0.0	0.0
O1000	0.62	0.37	-1.49	0.5
O101	0.0	0.0	0.0	0.0
O102	-0.5	-0.5	-0.5	1.5
O103	0.33	-1.48	0.75	0.4
O104	0.0	0.0	0.0	0.0
O105	0.0	0.0	0.0	0.0
O106	0.0	0.0	0.0	0.0
O107	-0.5	-0.5	-0.5	1.5
O108	1.16	0.37	-0.34	-1.18
O109	0.0	0.0	0.0	0.0
O11	-0.48	0.66	0.98	-1.17
O110	0.02	1.07	0.26	-1.34
O111	0.0	0.0	0.0	0.0
O112	0.0	0.0	0.0	0.0
O113	0.0	0.0	0.0	0.0
O114	1.44	-0.42	-0.85	-0.18
O115	0.0	0.0	0.0	0.0
O116	0.68	1.03	-0.86	-0.86
O117	1.1	0.6	-0.85	-0.85
O118	0.02	0.96	0.41	-1.38
O119	0.47	0.7	-1.48	0.3
O12	0.23	0.76	0.47	-1.46
O120	0.58	-1.49	0.31	0.6
O121	-0.86	-0.86	0.7	1.02
O122	0.89	-0.87	-0.87	0.84
O123	0.0	0.0	0.0	0.0
O124	0.0	0.89	0.51	-1.4
O125	0.37	-0.42	-1.13	1.19
O126	0.0	0.0	0.0	0.0
O127	0.0	0.0	0.0	0.0
O128	0.77	0.6	0.06	-1.43
O129	1.06	0.64	-0.85	-0.85
O13	0.26	0.78	0.43	-1.47
O130	1.08	0.62	-0.85	-0.85
O131	0.68	0.6	0.19	-1.47
O132	1.5	-0.5	-0.5	-0.5
O133	-0.27	0.8	0.77	-1.3
O134	-0.81	-0.81	0.4	1.23
O135	0.0	0.0	0.0	0.0
O136	0.14	0.97	-1.4	0.29
O137	0.0	0.0	0.0	0.0
O138	-0.24	0.08	1.29	-1.13
O139	0.99	0.58	-1.26	-0.32
O14	-0.63	0.83	0.87	-1.08
O140	-0.5	-0.5	-0.5	1.5
O141	-0.5	-0.5	-0.5	1.5
O142	1.12	0.57	-0.84	-0.84
O143	-0.84	-0.84	0.52	1.15
O144	0.3	-1.48	0.52	0.67
O145	0.79	0.0	-1.41	0.62
O146	1.5	-0.5	-0.5	-0.5
O147	1.33	0.2	-0.87	-0.66
O148	1.5	-0.5	-0.5	-0.5
O149	0.91	0.38	-1.42	0.13
O15	-0.33	0.65	0.94	-1.26
O150	1.16	0.51	-0.83	-0.83
O151	0.0	0.0	0.0	0.0
O152	1.18	0.48	-0.75	-0.9
O153	0.0	0.0	0.0	0.0
O154	-0.85	0.59	1.1	-0.85
O155	0.0	0.0	0.0	0.0
O156	-0.87	-0.87	0.9	0.83
O157	1.15	0.53	-0.84	-0.83
O158	1.03	0.68	-0.86	-0.86
O159	-0.5	-0.5	-0.5	1.5
O16	-0.51	0.59	1.05	-1.13
O160	0.84	0.64	-0.11	-1.37
O161	1.5	-0.5	-0.5	-0.5
O162	0.75	0.97	-0.86	-0.86
O163	-0.5	1.5	-0.5	-0.5
O164	1.28	0.23	-1.06	-0.45
O165	-0.5	-0.5	1.5	-0.5
O166	0.43	0.6	0.46	-1.5
O167	0.0	0.0	0.0	0.0
O168	1.43	-0.09	-0.79	-0.56
O169	-0.5	-0.5	-0.5	1.5
O17	0.03	1.19	0.03	-1.26
O170	-0.86	1.01	0.7	-0.86
O171	0.76	0.53	0.16	-1.45
O172	-1.09	-0.58	1.06	0.61
O173	0.87	0.48	0.06	-1.41
O174	-0.9	1.34	0.16	-0.6
O175	0.62	1.08	-0.85	-0.85
O176	1.25	-0.37	0.23	-1.11
O177	-0.85	0.66	1.05	-0.85
O178	1.09	0.55	-0.54	-1.1
O179	0.0	0.0	0.0	0.0
O18	-0.28	1.08	0.45	-1.25
O180	0.87	0.87	-0.87	-0.87
O181	1.5	-0.5	-0.5	-0.5
O182	0.6	1.07	-0.58	-1.08
O183	-0.5	-0.5	1.5	-0.5
O184	0.0	0.0	0.0	0.0
O185	-0.87	-0.87	0.82	0.91
O186	0.0	0.0	0.0	0.0
O187	1.02	0.69	-0.86	-0.86
O188	0.0	0.0	0.0	0.0
O189	-0.5	-0.5	-0.5	1.5
O19	0.49	0.64	0.36	-1.49
O190	1.38	-0.79	-0.67	0.08
O191	0.64	1.06	-0.96	-0.74
O192	0.35	-1.49	0.56	0.59
O193	1.19	0.17	-1.24	-0.12
O194	-1.29	0.44	1.05	-0.2
O195	0.0	0.0	0.0	0.0
O196	0.94	0.49	-0.07	-1.36
O197	-0.85	-0.85	0.64	1.07
O198	-0.86	-0.86	0.7	1.02
O199	-0.5	-0.5	-0.5	1.5
O20	-0.36	1.05	0.53	-1.22
O200	-1.46	0.21	0.52	0.74
O201	1.2	0.43	-0.95	-0.68
O202	-0.5	-0.5	-0.5	1.5
O203	-0.24	1.21	-1.2	0.23
O204	0.98	0.74	-0.86	-0.86
O205	1.5	-0.5	-0.5	-0.5
O206	-0.85	0.62	1.08	-0.85
O207	0.0	0.0	0.0	0.0
O208	0.36	0.46	0.67	-1.49
O209	0.69	0.25	-1.47	0.53
O21	-0.16	0.98	0.51	-1.33
O210	1.15	0.52	-0.72	-0.95
O211	0.72	-0.86	1.0	-0.86
O212	0.74	0.32	-1.47	0.41
O213	0.0	0.0	0.0	0.0
O214	0.84	0.89	-0.87	-0.87
O215	0.89	0.84	-0.87	-0.87
O216	-1.33	-0.18	0.62	0.89
O217	-0.86	0.8	0.93	-0.86
O218	-0.86	-0.86	0.69	1.02
O219	-0.87	-0.87	0.91	0.82
O22	-0.73	0.99	0.73	-0.98
O220	0.33	0.34	0.79	-1.46
O221	0.81	0.51	0.12	-1.44
O222	1.06	0.64	-0.85	-0.85
O223	0.54	0.48	-1.5	0.48
O224	-0.86	0.73	0.99	-0.86
O225	-1.47	0.22	0.62	0.63
O226	-0.86	-0.86	0.98	0.74
O227	0.0	0.0	0.0	0.0
O228	-0.5	-0.5	1.5	-0.5
O229	0.0	0.0	0.0	0.0
O23	-0.52	1.23	0.34	-1.05
O230	0.0	0.0	0.0	0.0
O231	-0.86	-0.86	0.76	0.97
O232	-1.41	0.06	0.44	0.9
O233	0.0	0.0	0.0	0.0
O234	-0.5	-0.5	1.5	-0.5
O235	-0.5	-0.5	-0.5	1.5
O236	0.0	0.0	0.0	0.0
O237	-0.87	0.85	0.88	-0.87
O238	1.43	-0.06	-0.6	-0.77
O239	1.07	0.63	-0.85	-0.85
O24	-0.02	0.77	0.65	-1.41
O240	-0.5	-0.5	1.5	-0.5
O241	0.0	0.0	0.0	0.0
O242	-0.65	-1.0	0.49	1.16
O243	0.99	0.73	-0.86	-0.86
O244	-0.86	-0.86	0.68	1.03
O245	1.38	0.07	-0.84	-0.62
O246	0.34	0.62	0.53	-1.49
O247	0.75	0.55	-1.45	0.15
O248	0.0	0.0	0.0	0.0
O249	0.06	-0.02	-1.24	1.2
O25	0.05	0.63	0.75	-1.43
O250	1.27	0.25	-0.47	-1.05
O251	-1.34	-0.17	0.61	0.9
O252	-0.84	-0.84	1.12	0.56
O253	1.01	0.71	-0.86	-0.86
O254	1.09	0.28	-1.31	-0.07
O255	-0.14	-0.83	-0.47	1.44
O256	0.0	0.0	0.0	0.0
O257	0.65	0.34	-1.49	0.5
O258	-1.5	0.4	0.58	0.52
O259	-1.25	-0.28	0.44	1.08
O26	-0.44	1.2	0.35	-1.12
O260	1.06	0.64	-0.85	-0.85
O261	-0.73	-0.84	0.27	1.3
O262	0.77	0.96	-0.86	-0.86
O263	0.56	1.13	-0.84	-0.84
O264	0.91	-0.87	-0.87	0.82
O265	-0.5	-0.5	1.5	-0.5
O266	-0.5	-0.5	1.5	-0.5
O267	0.67	-1.49	0.42	0.4
O268	1.02	-0.02	-1.35	0.35
O269	-0.86	-0.86	0.75	0.97
O27	0.23	0.65	0.6	-1.47
O270	0.94	0.79	-0.86	-0.86
O271	0.0	0.0	0.0	0.0
O272	0.7	1.02	-0.86	-0.86
O273	0.67	0.52	-1.48	0.29
O274	-1.44	0.21	0.86	0.38
O275	-0.86	0.71	-0.86	1.01
O276	0.76	0.96	-0.86	-0.86
O277	-0.7	-0.69	-0.04	1.43
O278	-0.86	-0.86	1.0	0.72
O279	0.0	0.0	0.0	0.0
O28	-0.7	0.77	0.94	-1.02
O280	-0.5	-0.5	1.5	-0.5
O281	0.82	-0.87	0.91	-0.87
O282	-0.86	-0.86	0.96	0.77
O283	1.36	0.14	-0.75	-0.75
O284	-0.25	-0.52	-0.7	1.47
O285	-1.44	0.15	0.48	0.82
O286	0.62	0.28	0.58	-1.48
O287	0.51	0.74	0.21	-1.46
O288	0.0	0.0	0.0	0.0
O289	-1.49	0.5	0.64	0.35
O29	0.04	0.74	0.65	-1.43
O290	1.05	0.66	-0.85	-0.85
O291	-1.48	0.27	0.57	0.64
O292	-0.46	-0.49	-0.54	1.5
O293	0.0	0.0	0.0	0.0
O294	-0.5	-0.5	-0.5	1.5
O295	0.94	0.79	-0.86	-0.86
O296	-0.5	-0.5	1.5	-0.5
O297	0.57	1.12	-0.8	-0.89
O298	0.67	1.04	-0.76	-0.95
O299	-1.45	0.16	0.49	0.79
O30	0.34	0.72	0.42	-1.48
O300	0.0	0.0	0.0	0.0
O301	0.0	0.0	0.0	0.0
O302	-0.5	-0.5	1.5	-0.5
O303	0.82	0.39	-1.46	0.25
O304	0.04	1.39	-0.87	-0.57
O305	0.61	0.59	-1.48	0.28
O306	-0.5	-0.5	-0.5	1.5
O307	0.56	0.44	-1.5	0.49
O308	0.68	0.98	-0.52	-1.14
O309	0.0	0.0	0.0	0.0
O31	-0.02	0.89	0.52	-1.39
O310	-1.47	0.39	0.75	0.33
O311	0.0	0.0	0.0	0.0
O312	-0.84	1.12	0.57	-0.84
O313	-0.5	-0.5	1.5	-0.5
O314	1.19	0.47	-0.81	-0.85
O315	-1.41	0.03	0.55	0.84
O316	0.0	0.0	0.0	0.0
O317	0.0	0.0	0.0	0.0
O318	0.0	0.0	0.0	0.0
O319	0.0	0.0	0.0	0.0
O32	-0.27	0.62	0.94	-1.29
O320	0.74	0.98	-0.86	-0.86
O321	-0.86	0.94	0.79	-0.86
O322	-0.83	-0.83	0.5	1.17
O323	1.5	-0.5	-0.5	-0.5
O324	0.09	0.99	-1.39	0.31
O325	-0.5	-0.5	-0.5	1.5
O326	0.61	0.61	0.26	-1.48
O327	0.32	0.69	0.47	-1.48
O328	-1.49	0.49	0.62	0.39
O329	0.67	1.04	-0.86	-0.86
O33	-0.85	-0.85	1.08	0.62
O330	0.0	0.0	0.0	0.0
O331	-0.86	-0.86	0.77	0.96
O332	-0.84	-0.84	0.57	1.12
O333	-0.83	-0.83	0.5	1.16
O334	0.0	0.0	0.0	0.0
O335	0.59	0.68	0.2	-1.47
O336	-1.48	0.49	0.32	0.67
O337	-1.49	0.34	0.56	0.58
O338	-0.5	-0.5	-0.5	1.5
O339	0.3	-1.48	0.54	0.64
O34	0.0	0.0	0.0	0.0
O340	-0.86	-0.86	0.78	0.95
O341	1.06	0.65	-0.85	-0.85
O342	-0.86	0.74	0.98	-0.86
O343	0.0	0.0	0.0	0.0
O344	-0.94	-0.6	0.23	1.31
O345	-1.15	1.28	0.07	-0.21
O346	0.83	-0.46	-1.19	0.82
O347	-0.84	-0.84	0.55	1.14
O348	0.0	0.0	0.0	0.0
O349	0.0	0.0	0.0	0.0
O35	0.38	0.76	0.32	-1.47
O350	0.0	0.0	0.0	0.0
O351	-0.85	0.04	1.39	-0.58
O352	0.0	0.0	0.0	0.0
O353	-0.85	-0.85	0.63	1.07
O354	-1.46	0.43	0.79	0.24
O355	0.0	0.0	0.0	0.0
O356	1.08	0.61	-0.98	-0.71
O357	1.11	0.58	-0.85	-0.85
O358	-1.48	0.45	0.73	0.29
O359	0.16	0.52	0.77	-1.45
O36	0.0	0.0	0.0	0.0
O360	0.0	0.0	0.0	0.0
O361	0.0	0.0	0.0	0.0
O362	-0.5	-0.5	-0.5	1.5
O363	0.0	0.0	0.0	0.0
O364	0.0	0.0	0.0	0.0
O365	-0.5	1.5	-0.5	-0.5
O366	0.0	0.0	0.0	0.0
O367	0.0	0.0	0.0	0.0
O368	1.16	0.51	-0.74	-0.92
O369	0.0	0.0	0.0	0.0
O37	1.5	-0.5	-0.5	-0.5
O370	0.0	0.0	0.0	0.0
O371	1.08	0.62	-0.85	-0.85
O372	1.3	-0.42	-1.05	0.17
O373	0.0	0.0	0.0	0.0
O374	0.0	0.0	0.0	0.0
O375	0.0	0.0	0.0	0.0
O376	-0.86	-0.86	0.94	0.79
O377	0.99	0.73	-0.86	-0.86
O378	1.5	-0.5	-0.5	-0.5
O379	0.36	0.56	-1.49	0.58
O38	1.03	0.69	-0.86	-0.86
O380	1.0	0.72	-0.86	-0.86
O381	1.5	-0.5	-0.5	-0.5
O382	-1.41	0.95	0.28	0.19
O383	1.08	0.59	-0.64	-1.04
O384	0.95	0.77	-0.86	-0.86
O385	-1.43	0.13	0.86	0.44
O386	-0.5	-0.5	-0.5	1.5
O387	-0.86	-0.86	1.02	0.7
O388	0.69	-0.86	-0.86	1.02
O389	1.22	0.37	-0.55	-1.04
O39	-1.27	0.93	-0.32	0.65
O390	0.8	0.36	-1.46	0.31
O391	0.92	0.81	-0.87	-0.87
O392	0.0	0.0	0.0	0.0
O393	0.92	-0.87	-0.87	0.81
O394	-0.83	-0.83	0.51	1.16
O395	-0.84	-0.84	0.55	1.13
O396	0.0	0.0	0.0	0.0
O397	1.04	0.68	-0.86	-0.86
O398	0.46	-1.49	0.65	0.38
O399	0.0	0.0	0.0	0.0
O40	0.82	0.46	0.16	-1.44
O400	0.97	0.76	-0.86	-0.86
O401	0.0	0.0	0.0	0.0
O402	-1.05	-0.2	1.36	-0.1
O403	1.07	0.63	-0.85	-0.85
O404	-0.86	-0.86	0.78	0.95
O405	-0.5	-0.5	1.5	-0.5
O406	0.79	0.47	0.19	-1.45
O407	1.17	-0.49	0.42	-1.1
O408	-0.87	-0.87	0.84	0.89
O409	0.0	0.0	0.0	0.0
O41	0.91	0.38	0.12	-1.42
O410	0.0	0.0	0.0	0.0
O411	0.93	0.8	-0.86	-0.86
O412	-0.05	0.72	0.73	-1.4
O413	0.74	0.98	-0.76	-0.96
O414	0.0	0.0	0.0	0.0
O415	-0.84	1.12	0.57	-0.84
O416	-1.32	-0.09	1.06	0.34
O417	-0.08	0.64	-1.38	0.83
O418	1.5	-0.5	-0.5	-0.5
O419	1.09	0.61	-0.85	-0.85
O42	0.85	0.39	0.2	-1.44
O420	-0.84	-0.84	1.12	0.57
O421	-0.5	-0.5	-0.5	1.5
O422	0.81	0.8	-1.25	-0.37
O423	1.2	0.4	-1.02	-0.59
O424	0.0	0.0	0.0	0.0
O425	1.02	-1.12	0.64	-0.54
O426	-0.83	-0.83	0.49	1.17
O427	0.92	0.46	-1.4	0.02
O428	-1.1	-0.57	1.01	0.66
O429	-0.85	0.8	0.93	-0.88
O43	0.66	0.49	0.34	-1.49
O430	1.03	0.68	-0.86	-0.86
O431	-0.87	-0.87	0.92	0.81
O432	0.45	1.07	-0.27	-1.25
O433	1.11	0.58	-0.84	-0.84
O434	-0.5	-0.5	1.5	-0.5
O435	0.96	0.76	-0.86	-0.86
O436	-0.33	1.49	-0.59	-0.57
O437	0.0	0.0	0.0	0.0
O438	-1.45	0.19	0.43	0.83
O439	0.55	0.58	0.36	-1.49
O44	0.78	0.41	0.27	-1.46
O440	0.73	0.59	0.13	-1.45
O441	0.23	0.81	0.42	-1.46
O442	0.59	1.1	-0.85	-0.85
O443	-0.87	0.84	0.89	-0.87
O444	-0.5	1.5	-0.5	-0.5
O445	0.0	0.0	0.0	0.0
O446	0.96	0.26	-1.4	0.18
O447	1.5	-0.5	-0.5	-0.5
O448	-1.48	0.47	0.68	0.33
O449	0.34	0.96	0.1	-1.4
O45	0.78	0.48	0.19	-1.45
O450	-0.85	0.62	1.08	-0.85
O451	0.39	0.83	-1.45	0.24
O452	0.83	0.44	-1.45	0.18
O453	1.24	-0.85	0.38	-0.77
O454	0.0	0.0	0.0	0.0
O455	-0.84	-0.84	1.14	0.54
O456	1.5	-0.5	-0.5	-0.5
O457	1.28	0.31	-0.82	-0.78
O458	0.72	0.84	-1.31	-0.25
O459	1.05	0.53	-1.21	-0.37
O46	0.8	0.36	0.3	-1.46
O460	-0.87	-0.87	0.86	0.87
O461	0.0	0.0	0.0	0.0
O462	-1.32	-0.16	0.5	0.99
O463	0.95	0.78	-0.86	-0.86
O464	0.52	-0.07	-1.37	0.92
O465	-0.86	-0.86	0.72	1.0
O466	0.0	0.0	0.0	0.0
O467	0.99	-0.86	0.73	-0.86
O468	-0.5	1.5	-0.5	-0.5
O469	0.0	0.0	0.0	0.0
O47	-0.91	0.74	0.98	-0.82
O470	-1.46	0.45	0.23	0.78
O471	-0.86	-0.86	0.96	0.77
O472	0.0	0.0	0.0	0.0
O473	1.14	0.51	-0.64	-1.01
O474	-1.46	0.19	0.61	0.67
O475	0.88	0.85	-0.85	-0.89
O476	1.12	0.56	-0.75	-0.93
O477	0.99	-0.86	-0.86	0.73
O478	-0.51	-0.58	-0.41	1.5
O479	1.5	-0.5	-0.5	-0.5
O48	0.67	0.4	0.42	-1.49
O480	1.33	0.17	-0.95	-0.55
O481	-0.85	-0.85	0.59	1.1
O482	1.5	-0.5	-0.5	-0.5
O483	0.0	0.0	0.0	0.0
O484	0.77	0.61	0.05	-1.43
O485	0.37	0.55	0.57	-1.49
O486	-0.21	0.31	-1.24	1.15
O487	0.0	0.0	0.0	0.0
O488	0.0	0.0	0.0	0.0
O489	-0.5	-0.5	-0.5	1.5
O49	0.66	0.5	0.33	-1.49
O490	0.0	0.0	0.0	0.0
O491	0.63	0.54	-1.49	0.32
O492	-1.38	0.7	0.77	-0.08
O493	0.96	0.74	-0.68	-1.03
O494	0.0	0.0	0.0	0.0
O495	1.41	-0.67	-0.74	0.0
O496	-0.5	-0.5	-0.5	1.5
O497	0.67	1.04	-0.87	-0.84
O498	1.03	0.66	-0.62	-1.06
O499	0.0	0.0	0.0	0.0
O50	0.73	0.42	0.33	-1.48
O500	0.9	-0.87	-0.87	0.83
O501	1.41	-0.03	-0.88	-0.5
O502	0.0	0.0	0.0	0.0
O503	-0.5	-0.5	-0.5	1.5
O504	0.68	0.8	-0.11	-1.37
O505	-1.38	1.02	0.2	0.16
O506	0.0	0.0	0.0	0.0
O507	0.0	0.0	0.0	0.0
O508	1.4	-0.05	-0.91	-0.45
O509	0.0	0.0	0.0	0.0
O51	0.75	0.51	0.2	-1.46
O510	0.87	0.61	-0.11	-1.37
O511	-1.38	0.04	0.34	1.0
O512	-0.84	1.13	0.56	-0.84
O513	0.0	0.0	0.0	0.0
O514	0.87	0.87	-0.85	-0.88
O515	1.01	0.71	-0.86	-0.86
O516	-0.6	-0.76	-0.07	1.43
O517	-1.05	-0.63	0.64	1.04
O518	0.0	0.0	0.0	0.0
O519	1.14	0.45	-0.47	-1.13
O52	0.79	0.49	0.16	-1.45
O520	0.69	1.02	-0.86	-0.86
O521	1.5	-0.5	-0.5	-0.5
O522	-0.5	-0.5	1.5	-0.5
O523	-1.4	0.04	0.46	0.91
O524	-1.45	0.21	0.39	0.84
O525	0.0	0.0	0.0	0.0
O526	0.0	0.0	0.0	0.0
O527	-1.4	-0.04	0.66	0.78
O528	1.5	-0.5	-0.5	-0.5
O529	0.34	0.53	-1.49	0.62
O53	0.7	0.46	0.32	-1.48
O530	1.21	0.14	-0.12	-1.23
O531	1.5	-0.5	-0.5	-0.5
O532	-0.5	1.5	-0.5	-0.5
O533	0.93	0.8	-0.86	-0.86
O534	0.0	0.0	0.0	0.0
O535	0.87	0.86	-0.87	-0.87
O536	0.0	0.0	0.0	0.0
O537	0.9	-0.87	-0.87	0.83
O538	0.21	0.9	0.32	-1.43
O539	-0.85	-0.85	0.63	1.07
O54	0.0	0.0	0.0	0.0
O540	1.17	0.43	-0.5	-1.09
